candle_open_time,open_price,high_price,low_price,close_price,btc_volume,candle_close_time,usd_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2021-05-01 00:49:00,57872.95000000,57907.18000000,57872.95000000,57907.18000000,0.03633400,2021-05-01 00:49:59.999,2103.61493026,3,0.03601000,2084.86067950,0
2021-05-01 00:50:00,57869.80000000,57878.92000000,57869.80000000,57871.22000000,0.01869100,2021-05-01 00:50:59.999,1081.64658242,3,0.01829400,1058.67170808,0
2021-05-01 00:51:00,57871.22000000,57871.22000000,57812.32000000,57812.32000000,0.42038200,2021-05-01 00:51:59.999,24319.98302705,16,0.01818000,1051.02815940,0
2021-05-01 00:52:00,57770.90000000,57770.90000000,57705.84000000,57710.26000000,1.43620200,2021-05-01 00:52:59.999,82918.29185152,28,0.65922500,38069.35367202,0
2021-05-01 00:53:00,57739.58000000,57744.43000000,57671.67000000,57677.17000000,0.79399000,2021-05-01 00:53:59.999,45815.93052572,15,0.03548100,2047.31123018,0
2021-05-01 00:54:00,57702.74000000,57702.74000000,57664.79000000,57664.79000000,0.12179700,2021-05-01 00:54:59.999,7024.33697851,8,0.02102500,1212.43298115,0
2021-05-01 00:55:00,57696.53000000,57775.42000000,57696.53000000,57775.42000000,0.14231200,2021-05-01 00:55:59.999,8215.66244236,9,0.14231200,8215.66244236,0
2021-05-01 00:56:00,57770.87000000,57784.15000000,57770.87000000,57775.33000000,0.09760900,2021-05-01 00:56:59.999,5639.65817737,5,0.02948900,1703.66308543,0
2021-05-01 00:57:00,57787.88000000,57809.34000000,57787.88000000,57805.56000000,0.18389800,2021-05-01 00:57:59.999,10629.52074241,15,0.08888000,5137.16728624,0
2021-05-01 00:58:00,57797.74000000,57800.97000000,57792.46000000,57800.97000000,0.14816700,2021-05-01 00:58:59.999,8563.70246706,5,0.00086500,49.99783905,0
2021-05-01 00:59:00,57799.21000000,57810.88000000,57781.70000000,57810.88000000,0.13830500,2021-05-01 00:59:59.999,7993.17224257,16,0.07314100,4227.76178821,0
2021-05-01 01:00:00,57805.98000000,57805.98000000,57730.42000000,57739.77000000,0.12860500,2021-05-01 01:00:59.999,7428.32919141,17,0.00892800,515.81556652,0
2021-05-01 01:01:00,57732.28000000,57732.30000000,57650.39000000,57677.79000000,0.54973900,2021-05-01 01:01:59.999,31707.99682767,28,0.31534600,18192.91502407,0
2021-05-01 01:02:00,57676.23000000,57676.23000000,57646.76000000,57651.87000000,0.23833400,2021-05-01 01:02:59.999,13742.21023351,20,0.06135500,3537.58553504,0
2021-05-01 01:03:00,57660.64000000,57674.77000000,57647.31000000,57656.87000000,0.04227800,2021-05-01 01:03:59.999,2437.64046003,10,0.03042800,1754.51983653,0
2021-05-01 01:04:00,57630.11000000,57630.11000000,57500.01000000,57531.13000000,1.08856200,2021-05-01 01:04:59.999,62614.50312482,41,0.47253100,27174.85551706,0
2021-05-01 01:05:00,57577.10000000,57612.18000000,57572.60000000,57590.87000000,0.09418600,2021-05-01 01:05:59.999,5423.09862293,14,0.09400800,5412.84777737,0
2021-05-01 01:06:00,57599.22000000,57599.22000000,57541.42000000,57548.72000000,0.09040600,2021-05-01 01:06:59.999,5203.66423170,15,0.05372300,3092.20818305,0
2021-05-01 01:07:00,57509.60000000,57557.50000000,57499.99000000,57557.50000000,0.29882500,2021-05-01 01:07:59.999,17185.85769465,24,0.11320700,6512.72864354,0
2021-05-01 01:08:00,57607.83000000,57619.18000000,57534.42000000,57534.42000000,0.03991300,2021-05-01 01:08:59.999,2297.79477725,7,0.00187900,108.24711017,0
2021-05-01 01:09:00,57558.16000000,57558.16000000,57519.01000000,57542.71000000,0.37656500,2021-05-01 01:09:59.999,21662.92472038,9,0.00000000,0.00000000,0
2021-05-01 01:10:00,57542.98000000,57567.91000000,57529.70000000,57567.91000000,0.57280100,2021-05-01 01:10:59.999,32961.50853504,17,0.33561600,19314.10352883,0
2021-05-01 01:11:00,57589.02000000,57606.62000000,57589.01000000,57589.01000000,0.03022000,2021-05-01 01:11:59.999,1740.35067508,3,0.00920800,530.29039696,0
2021-05-01 01:12:00,57598.52000000,57606.62000000,57598.52000000,57599.00000000,0.16865700,2021-05-01 01:12:59.999,9714.52746584,6,0.13139100,7568.04313184,0
2021-05-01 01:13:00,57606.62000000,57668.27000000,57606.62000000,57618.21000000,1.61280600,2021-05-01 01:13:59.999,92982.41842405,35,1.33900400,77198.01191531,0
2021-05-01 01:14:00,57618.21000000,57618.21000000,57618.21000000,57618.21000000,0.00000000,2021-05-01 01:14:59.999,0.00000000,0,0.00000000,0.00000000,0
2021-05-01 01:15:00,57630.59000000,57696.22000000,57630.59000000,57693.38000000,0.17765600,2021-05-01 01:15:59.999,10244.07695124,8,0.15754700,9083.98636642,0
2021-05-01 01:16:00,57698.33000000,57732.04000000,57621.08000000,57725.28000000,1.11818600,2021-05-01 01:16:59.999,64486.63913929,32,0.16633700,9600.76754141,0
2021-05-01 01:17:00,57713.79000000,57713.79000000,57680.33000000,57680.33000000,0.10297600,2021-05-01 01:17:59.999,5942.37765051,5,0.00000000,0.00000000,0
2021-05-01 01:18:00,57670.38000000,57670.38000000,57660.72000000,57666.02000000,0.14009000,2021-05-01 01:18:59.999,8078.79289548,4,0.01687000,972.73634640,0
2021-05-01 01:19:00,57680.33000000,57680.33000000,57673.50000000,57680.32000000,0.73568000,2021-05-01 01:19:59.999,42434.15233930,16,0.69835000,40281.05845550,0
